"term","estimate","std_error","statistic","p_value","conf_low","conf_high","group","level"
"(Intercept)",14.6233953826009,0.0166382235404992,878.903648998704,0,14.5907844644615,14.6560063007402,"Intercept","(Intercept)"
"strategyHigh Biomass",-0.603040037975815,0.0133188127105368,-45.2773119557976,0,-0.629144910888467,-0.576935165063163,"Strategy","High Biomass"
"strategyHigh Built-up",-0.0330026000228645,0.0135329383965819,-2.43868693226299,0.0147424607297621,-0.0595271592801651,-0.00647804076556384,"Strategy","High Built-up"
"strategyHigh Connectivity",-0.551142579042867,0.0134646007834727,-40.9327085077319,0,-0.577533196578474,-0.524751961507261,"Strategy","High Connectivity"
"strategyLow SAL cost",-0.0159342747181997,0.0136106273218631,-1.17072301969535,0.241712919983422,-0.0426111042690514,0.010742554832652,"Strategy","Low SAL cost"
"burned_typeAvoided Urban area (ha)",3.58189655523162,0.00859366611208307,416.80657690381,0,3.56505296965194,3.5987401408113,"Avoid type","Avoided Urban area (ha)"
"year2041",-0.473163074130949,0.0199061086688758,-23.7697423440054,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000152566994533982,-0.512179047121946,-0.434147101139953,"Year","2041"
"year2042",-0.524618747510035,0.0203122389965235,-25.82771636351,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000131585230569056,-0.564430735943221,-0.484806759076849,"Year","2042"
"year2043",0.0116012267395735,0.0206718587522142,0.561208688518678,0.57465653859471,-0.0289156164147663,0.0521180698939132,"Year","2043"
"year2044",0.0653743318351769,0.0208430352594174,3.13650728032229,0.00171022763327417,0.0245219827267188,0.106226680943635,"Year","2044"
"year2045",-0.179065106479075,0.0203764003752655,-8.78786749284916,0.00000000000000000154774326399369,-0.219002851214595,-0.139127361743555,"Year","2045"
"year2046",-0.439223052091582,0.0202319065294442,-21.7094247372271,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000291467550063301,-0.478877588889292,-0.399568515293871,"Year","2046"
"year2047",-0.65844177249802,0.0200239505841067,-32.8827106185847,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000711704608000321,-0.697688715642869,-0.619194829353171,"Year","2047"
"year2048",-1.42770890777735,0.0192448314302079,-74.1866154013868,0,-1.46542877738056,-1.38998903817415,"Year","2048"
"year2049",-3.85716200349591,0.0184148247701241,-209.459609398712,0,-3.89325506004535,-3.82106894694646,"Year","2049"
"year2050",-0.144803291803271,0.0203419795780802,-7.11844642491461,0.00000000000109880878855113,-0.184673571776309,-0.104933011830234,"Year","2050"
